id,company_id,report_month,employees_total,recruited_new,resigned_total,net_growth,shortage_total,shortage_detail,notes,created_at,updated_at
000656fc-7846-477f-a5a8-d38c5435dd11,a3c7fc9b-5f18-43a2-a5a6-6ee08c8ad1c8,2023-05-01,16,0,0,0,1,"{""mgmt"":1,""tech"":0,""general"":0}",,2026-02-07 02:22:04.329+00,2026-02-07 02:22:09.609481+00
000ad4ab-7e65-4d90-af56-392f1a5733f2,95623953-0d3d-4913-ab67-130f27494c06,2025-04-01,30,0,0,0,0,{},Imported via script,2026-02-05 14:16:17.304151+00,2026-02-05 14:16:17.304151+00
000caadd-1430-4d97-9ada-01042f16d06b,839b1381-482b-405f-97aa-59e358236168,2023-05-01,27,0,0,0,1,"{""mgmt"":1,""tech"":0,""general"":0}",,2026-02-07 02:22:04.326+00,2026-02-07 02:22:09.609481+00
0014e45f-ad59-485a-a715-9be596122914,15d2f5ce-7df8-40f1-bb3d-52b6013bb32d,2024-05-01,17,0,0,0,1,"{""mgmt"":1,""tech"":0,""general"":0}",,2026-02-07 02:22:04.328+00,2026-02-07 02:22:20.379944+00
0026ab56-2fa2-4ec4-b2b6-5e5c2a3ee511,4bc19e59-637d-4355-866c-5613f5e2da1a,2025-12-01,941,15,6,9,0,{},Imported via script,2026-02-05 14:16:48.618047+00,2026-02-05 14:16:48.618047+00
002b63b6-7b73-4311-9dc9-0b1a46824fcb,6d79bb18-0bcb-461d-be14-75eea971df23,2023-02-01,124,0,2,-2,1,"{""mgmt"":1,""tech"":0,""general"":0}",,2026-02-07 02:22:04.328+00,2026-02-07 02:22:06.98503+00
00331fc9-bf45-45ff-b1a2-b6c188bee7d4,d570fb14-717c-42d1-8d92-44e4cdca9c3c,2023-03-01,68,2,1,1,3,"{""mgmt"":1,""tech"":1,""general"":1}",,2026-02-07 02:22:04.325+00,2026-02-07 02:22:06.98503+00
00375bbd-8572-49ab-a0ba-cca5fb44c157,839b1381-482b-405f-97aa-59e358236168,2025-05-01,27,0,0,0,2,"{""mgmt"":1,""tech"":0,""general"":1}",Imported via script,2026-02-05 14:16:22.763428+00,2026-02-05 14:16:22.763428+00
003a4571-c1ab-434b-89f5-4b5e58ac47fd,cc5441cb-7d33-4343-afec-af11aa81b0f7,2024-09-01,57,0,1,-1,0,{},,2026-02-07 02:22:04.321+00,2026-02-07 02:22:22.029595+00
003a6a4c-d7a8-4bc4-bdef-22b57ed76012,387e59f2-93a4-4a90-8596-c68115788d50,2023-08-01,47,0,0,0,0,{},,2026-02-07 02:22:04.325+00,2026-02-07 02:22:14.455107+00
